route,count,public_086,private_086,private_085,private_084,private_le_083,best_public,best_private,mean_private,median_private,mean_delta_private_minus_public,best_submission,best_submission_public,best_submission_private
Biohack sparse-trust,2,2,0,1,0,1,0.86,0.85,0.84,0.84,-0.02,20260615_wrap_biohack_v62_public_sparse_trust_probe,0.86,0.85
Finding Nemo later variants,2,1,0,0,2,0,0.86,0.84,0.84,0.84,-0.015,Notebook finding nemo 3adc97 | Version 1,0.86,0.84
Finding Nemo original / Kienngx-tinker SVD packaging,1,0,1,0,0,0,0.84,0.86,0.86,0.86,0.02,Notebook finding nemo | Version 1,0.84,0.86
Huikang-Asalhi-Refine QR/SVD family,6,3,0,2,3,1,0.86,0.85,0.8417,0.84,-0.0117,20260614_slot2_huikang_blocktopk_floor4_clean_probe,0.85,0.85
Kienngx RepairCal calibration,6,6,0,0,5,1,0.86,0.84,0.8383,0.84,-0.0217,20260615_repaircal_nojitter_s001925_center_fill_probe,0.86,0.84
Merge/fusion/task arithmetic,6,1,0,0,3,3,0.86,0.84,0.81,0.835,-0.0017,20260606_slot4_stage7_keithtyser_taskarith_3b1d2fc3,0.85,0.84
Mirza v16 / adapter-v32 epoch5 packaging,1,1,1,0,0,0,0.86,0.86,0.86,0.86,0.0,20260605_slot4_mirzayasir_best_086_v16_remote_output,0.86,0.86
Other packaging/probes,30,10,0,0,16,14,0.86,0.84,0.7937,0.84,-0.013,Notebook NemotronCOMP best 0.86 solution NVIDIA(under 5min) | Version 1,0.86,0.84
Public high-score copy attempts,6,0,0,2,1,3,0.85,0.85,0.7483,0.745,0.0183,Submit own copy of Hammad 0.87 adapter,0.84,0.85
Replay/public custom route,3,2,0,0,3,0,0.86,0.84,0.84,0.84,-0.0133,20260605_slot6_mohamed_replay_data_086_v4_remote_output,0.86,0.84
Rohan/Kienngx small localcal scaling,10,4,0,2,8,0,0.86,0.85,0.842,0.84,-0.012,localcal_rohan_anchor_lmhead_loraB_x1.01_structure_preserved,0.86,0.85
Symbolic-focused SFT,3,1,0,1,2,0,0.86,0.85,0.8433,0.84,-0.01,symbolic2 lr12 v1 localcv825 symbolic-only validated,0.86,0.85
Training/custom SFT attempts,15,0,0,2,2,11,0.85,0.85,0.7653,0.76,0.0033,20260608_slot4_nemotron-s7-seed-stability-replay_f5dde9e0,0.85,0.85
